,player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Height,Weight
123,DeMarcus Nelson,13.153846153846153,1.8461538461538463,4.153846153846154,0.444,0.0,0.23076923076923078,0.0,0.38461538461538464,1.0769230769230769,0.357,0.46153846153846156,1.3846153846153846,1.8461538461538463,1.0,0.6923076923076923,0.15384615384615385,1.1538461538461537,1.8461538461538463,4.076923076923077,73.0,198.0
124,DeMarre Carroll,12.083333333333334,1.0416666666666667,2.75,0.379,0.3333333333333333,1.375,0.242,1.2083333333333333,1.75,0.69,0.5,1.7916666666666667,2.2916666666666665,1.0416666666666667,0.3333333333333333,0.20833333333333334,0.7083333333333334,1.3333333333333333,3.625,78.25,207.2
125,Dee Brown,13.736842105263158,0.9473684210526315,2.5789473684210527,0.367,0.3684210526315789,1.263157894736842,0.292,0.15789473684210525,0.2631578947368421,0.6,0.3684210526315789,1.1578947368421053,1.5263157894736843,1.894736842105263,0.5263157894736842,0.0,0.8947368421052632,1.4736842105263157,2.4210526315789473,71.0,179.0
126,Delon Wright,14.457142857142857,0.9142857142857143,2.8857142857142857,0.317,0.45714285714285713,1.6571428571428573,0.276,0.3142857142857143,0.5714285714285714,0.55,0.5714285714285714,1.0285714285714285,1.6,1.7142857142857142,0.7714285714285715,0.34285714285714286,0.5428571428571428,0.5714285714285714,2.6,76.25,181.4
127,Delonte West,24.09090909090909,3.772727272727273,8.181818181818182,0.461,0.6136363636363636,1.7272727272727273,0.355,1.4090909090909092,1.5909090909090908,0.886,0.29545454545454547,2.0,2.2954545454545454,3.159090909090909,1.3181818181818181,0.25,1.7272727272727273,1.5227272727272727,9.568181818181818,73.5,183.0
128,Demetris Nichols,3.5,0.75,2.25,0.333,0.0,0.5,0.0,0.25,0.5,0.5,0.0,0.5,0.5,0.25,0.0,0.25,0.0,0.25,1.75,78.0,211.0
129,Demetrius Jackson,6.5,1.3333333333333333,2.5,0.533,0.3333333333333333,1.0,0.333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.5,0.8333333333333334,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,3.6666666666666665,72.0,193.8
130,Deron Williams,25.890625,4.109375,9.375,0.438,1.328125,3.65625,0.363,1.40625,1.703125,0.826,0.21875,2.078125,2.296875,5.625,0.484375,0.125,2.15625,2.15625,10.953125,73.75,202.4
131,Derrick Favors,16.743589743589745,2.41025641025641,4.666666666666667,0.516,0.05128205128205128,0.41025641025641024,0.125,0.41025641025641024,0.6410256410256411,0.64,1.4871794871794872,3.230769230769231,4.717948717948718,0.6410256410256411,0.4358974358974359,0.3076923076923077,0.23076923076923078,1.5897435897435896,5.282051282051282,80.75,245.2
132,Derrick Rose,16.625,3.1666666666666665,6.875,0.461,0.625,1.7083333333333333,0.366,1.0,1.125,0.889,0.2916666666666667,1.5833333333333333,1.875,3.25,0.3333333333333333,0.08333333333333333,1.2916666666666667,0.875,7.958333333333333,73.5,196.0
